07-31-2026 16:03:25 RAM 6125/7485MB (lfb 1x4MB) CPU [2%@729,3%@729,2%@729,2%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@50.968C/52.5C soc2@51.906C/52.875C soc0@49.843C/50.968C gpu@51.468C/52.843C tj@52.093C/53.031C soc1@52.093C/52.937C VDD_IN 4642mW/4990mW/6734mW VDD_CPU_GPU_CV 713mW/915mW/1858mW VDD_SOC 1388mW/1400mW/1661mW
07-31-2026 16:03:26 RAM 6125/7485MB (lfb 1x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@50.968C/52.5C soc2@51.75C/52.875C soc0@49.812C/50.968C gpu@51.75C/52.843C tj@52.031C/53.031C soc1@52.031C/52.937C VDD_IN 4602mW/4978mW/6734mW VDD_CPU_GPU_CV 673mW/907mW/1858mW VDD_SOC 1388mW/1400mW/1661mW
07-31-2026 16:03:27 RAM 6125/7485MB (lfb 1x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@50.968C/52.5C soc2@51.781C/52.875C soc0@49.875C/50.968C gpu@51.468C/52.843C tj@52C/53.031C soc1@52C/52.937C VDD_IN 4602mW/4967mW/6734mW VDD_CPU_GPU_CV 673mW/900mW/1858mW VDD_SOC 1388mW/1399mW/1661mW
07-31-2026 16:03:28 RAM 6124/7485MB (lfb 1x4MB) CPU [5%@729,1%@729,4%@729,2%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.125C/52.5C soc2@51.75C/52.875C soc0@49.718C/50.968C gpu@51.593C/52.843C tj@52.031C/53.031C soc1@52.031C/52.937C VDD_IN 4642mW/4957mW/6734mW VDD_CPU_GPU_CV 713mW/895mW/1858mW VDD_SOC 1388mW/1399mW/1661mW
07-31-2026 16:03:29 RAM 6212/7485MB (lfb 3x2MB) CPU [26%@729,2%@729,0%@729,37%@729,5%@729,0%@729] EMC_FREQ 6%@2133 GR3D_FREQ 99%@[618] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.093C/52.5C soc2@51.968C/52.875C soc0@49.843C/50.968C gpu@52.5C/52.843C tj@52.5C/53.031C soc1@51.968C/52.937C VDD_IN 7475mW/5027mW/7475mW VDD_CPU_GPU_CV 2408mW/937mW/2408mW VDD_SOC 1779mW/1410mW/1779mW
07-31-2026 16:03:30 RAM 6214/7485MB (lfb 4x2MB) CPU [1%@729,1%@729,0%@729,31%@729,0%@729,0%@729] EMC_FREQ 16%@2133 GR3D_FREQ 35%@[623] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.25C/52.5C soc2@52.25C/52.875C soc0@50C/50.968C gpu@53.156C/53.156C tj@52.812C/53.031C soc1@51.906C/52.937C VDD_IN 9619mW/5151mW/9619mW VDD_CPU_GPU_CV 3733mW/1013mW/3733mW VDD_SOC 2050mW/1427mW/2050mW
07-31-2026 16:03:32 RAM 6267/7485MB (lfb 4x2MB) CPU [8%@729,3%@729,4%@729,24%@729,3%@729,0%@729] EMC_FREQ 24%@2133 GR3D_FREQ 99%@[623] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.468C/52.5C soc2@52.375C/52.875C soc0@50.093C/50.968C gpu@53.218C/53.218C tj@53.218C/53.218C soc1@52.062C/52.937C VDD_IN 10210mW/5285mW/10210mW VDD_CPU_GPU_CV 3968mW/1090mW/3968mW VDD_SOC 2204mW/1447mW/2204mW
07-31-2026 16:03:33 RAM 6273/7485MB (lfb 5x2MB) CPU [1%@729,0%@729,1%@729,27%@729,0%@729,0%@729] EMC_FREQ 25%@2133 GR3D_FREQ 99%@[623] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.468C/52.5C soc2@52.437C/52.875C soc0@50.187C/50.968C gpu@53.062C/53.218C tj@53.062C/53.218C soc1@52.156C/52.937C VDD_IN 10053mW/5407mW/10210mW VDD_CPU_GPU_CV 3968mW/1164mW/3968mW VDD_SOC 2125mW/1465mW/2204mW
07-31-2026 16:03:34 RAM 6278/7485MB (lfb 5x2MB) CPU [0%@729,4%@729,2%@729,15%@729,0%@729,0%@729] EMC_FREQ 28%@2133 GR3D_FREQ 99%@[623] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.593C/52.5C soc2@52.562C/52.875C soc0@50.312C/50.968C gpu@53.156C/53.218C tj@53.156C/53.218C soc1@52.125C/52.937C VDD_IN 10131mW/5525mW/10210mW VDD_CPU_GPU_CV 3890mW/1232mW/3968mW VDD_SOC 2204mW/1483mW/2204mW
07-31-2026 16:03:35 RAM 6304/7485MB (lfb 1x2MB) CPU [1%@729,2%@729,2%@729,33%@729,0%@729,1%@729] EMC_FREQ 27%@2133 GR3D_FREQ 99%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.718C/52.5C soc2@52.718C/52.875C soc0@50.343C/50.968C gpu@53.562C/53.562C tj@53.562C/53.562C soc1@52.281C/52.937C VDD_IN 10171mW/5638mW/10210mW VDD_CPU_GPU_CV 4047mW/1301mW/4047mW VDD_SOC 2125mW/1499mW/2204mW
07-31-2026 16:03:36 RAM 6302/7485MB (lfb 1x2MB) CPU [0%@729,4%@729,2%@729,18%@729,0%@729,0%@729] EMC_FREQ 28%@2133 GR3D_FREQ 99%@[621] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.875C/52.5C soc2@52.843C/52.875C soc0@50.343C/50.968C gpu@53.375C/53.562C tj@53.375C/53.562C soc1@52.375C/52.937C VDD_IN 10131mW/5745mW/10210mW VDD_CPU_GPU_CV 3968mW/1364mW/4047mW VDD_SOC 2164mW/1515mW/2204mW
07-31-2026 16:03:37 RAM 6301/7485MB (lfb 1x2MB) CPU [2%@729,0%@729,1%@729,22%@729,0%@729,0%@729] EMC_FREQ 27%@2133 GR3D_FREQ 73%@[623] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@52.062C/52.5C soc2@52.937C/52.937C soc0@50.656C/50.968C gpu@53.406C/53.562C tj@53.406C/53.562C soc1@52.531C/52.937C VDD_IN 10092mW/5846mW/10210mW VDD_CPU_GPU_CV 4008mW/1426mW/4047mW VDD_SOC 2125mW/1529mW/2204mW
07-31-2026 16:03:38 RAM 6299/7485MB (lfb 2x2MB) CPU [3%@729,7%@729,3%@729,25%@729,0%@729,0%@729] EMC_FREQ 28%@2133 GR3D_FREQ 99%@[623] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@52.062C/52.5C soc2@52.937C/52.937C soc0@50.687C/50.968C gpu@53.687C/53.687C tj@53.687C/53.687C soc1@52.468C/52.937C VDD_IN 10171mW/5945mW/10210mW VDD_CPU_GPU_CV 4047mW/1486mW/4047mW VDD_SOC 2086mW/1542mW/2204mW
07-31-2026 16:03:39 RAM 6299/7485MB (lfb 2x2MB) CPU [0%@729,0%@729,0%@729,20%@729,0%@729,0%@729] EMC_FREQ 27%@2133 GR3D_FREQ 99%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.937C/52.5C soc2@52.968C/52.968C soc0@50.687C/50.968C gpu@53.593C/53.687C tj@53.593C/53.687C soc1@52.468C/52.937C VDD_IN 10092mW/6037mW/10210mW VDD_CPU_GPU_CV 4047mW/1542mW/4047mW VDD_SOC 2046mW/1553mW/2204mW
07-31-2026 16:03:40 RAM 6297/7485MB (lfb 2x2MB) CPU [0%@883,3%@883,1%@883,25%@883,0%@729,0%@729] EMC_FREQ 28%@2133 GR3D_FREQ 99%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.968C/52.5C soc2@53C/53C soc0@50.718C/50.968C gpu@53.718C/53.718C tj@53.718C/53.718C soc1@52.562C/52.937C VDD_IN 10092mW/6125mW/10210mW VDD_CPU_GPU_CV 4008mW/1596mW/4047mW VDD_SOC 2046mW/1564mW/2204mW
